times
2, 256, 23837
2, 512, 88295
2, 1024, 350996
2, 2048, 1375427
4, 256, 68570
4, 512, 148807
4, 1024, 788465
4, 2048, 3008587
6, 256, 156931
6, 512, 310273
6, 1024, 1048609
6, 2048, 4508494
8, 256, 246667
8, 512, 538616
8, 1024, 1598526
8, 2048, 3563382
