Serial Time Data
1, 1024, 571165
1, 2048, 2143394
1, 4096, 8672129
1, 7680, 25753592
1, 10240, 43659292
1, 12800, 68243524
1, 1024, 410453
1, 2048, 1649723
1, 4096, 7537205
1, 7680, 26049437
1, 10240, 44051587
1, 12800, 68074708
1, 1024, 439292
1, 2048, 1767267
1, 4096, 7160903
1, 7680, 24478536
1, 10240, 46271279
1, 12800, 67432052
1, 1024, 410958
1, 2048, 1646543
1, 4096, 6590830
1, 7680, 24196223
1, 10240, 43805012
1, 12800, 68153089
1, 1024, 410370
1, 2048, 1751861
1, 4096, 7152311
1, 7680, 24532113
1, 10240, 43969856
1, 12800, 68168550
1, 1024, 458628
1, 2048, 1646594
1, 4096, 6586050
1, 7680, 29393265
1, 10240, 43300839
1, 12800, 64510726
1, 1024, 449515
1, 2048, 1647103
1, 4096, 6585783
1, 7680, 24631624
1, 10240, 43607807
1, 12800, 68382859
1, 1024, 460620
1, 2048, 1759580
1, 4096, 7061138
1, 7680, 25719216
1, 10240, 45446105
1, 12800, 68184929
1, 1024, 410459
1, 2048, 1647158
1, 4096, 7049877
1, 7680, 24471466
1, 10240, 46172793
1, 12800, 64634241
1, 1024, 410033
1, 2048, 1714350
1, 4096, 7085297
1, 7680, 23369163
1, 10240, 43840346
1, 12800, 68324600
